,date,home_team,score,away_team
526,01-10-2023,Betis,3 - 0,Valencia
527,08-10-2023,Alaves,1 - 1,Betis
528,21-10-2023,Getafe,1 - 1,Betis
529,29-10-2023,Betis,2 - 1,Osasuna
530,04-11-2023,Betis,2 - 0,Mallorca
531,12-11-2023,Sevilla,1 - 1,Betis
532,26-11-2023,Betis,1 - 0,Las Palmas
533,03-12-2023,Almeria,0 - 0,Betis
534,09-12-2023,Betis,1 - 1,Real Madrid
535,17-12-2023,Sociedad,0 - 0,Betis
536,21-12-2023,Betis,1 - 1,Girona
537,03-01-2024,Celta,2 - 1,Betis
538,13-01-2024,Betis,1 - 0,Granada
539,21-01-2024,Betis,? - ?,Barcelona
540,14-08-2023,Cadiz,1 - 0,Alaves
541,20-08-2023,Barcelona,2 - 0,Cadiz
542,26-08-2023,Cadiz,1 - 1,Almeria
543,01-09-2023,Cadiz,3 - 1,Villarreal
544,16-09-2023,Ath Bilbao,3 - 0,Cadiz
545,24-09-2023,Betis,1 - 1,Cadiz
546,27-09-2023,Cadiz,0 - 0,Vallecano
547,01-10-2023,Ath Madrid,3 - 2,Cadiz
548,07-10-2023,Cadiz,0 - 1,Girona
549,23-10-2023,Valencia,2 - 0,Cadiz
550,28-10-2023,Cadiz,2 - 2,Sevilla
551,06-11-2023,Getafe,1 - 0,Cadiz
552,26-11-2023,Cadiz,0 - 3,Real Madrid
553,29-11-2023,Mallorca,1 - 1,Cadiz
554,04-12-2023,Celta,1 - 1,Cadiz
555,10-12-2023,Cadiz,1 - 1,Osasuna
556,17-12-2023,Las Palmas,1 - 1,Cadiz
557,21-12-2023,Cadiz,0 - 0,Sociedad
558,03-01-2024,Granada,2 - 0,Cadiz
559,14-01-2024,Cadiz,1 - 4,Valencia
560,19-01-2024,Alaves,? - ?,Cadiz
561,13-08-2023,Celta,0 - 2,Osasuna
562,19-08-2023,Sociedad,1 - 1,Celta
563,25-08-2023,Celta,0 - 1,Real Madrid
564,01-09-2023,Almeria,2 - 3,Celta
565,16-09-2023,Celta,0 - 1,Mallorca
566,23-09-2023,Barcelona,3 - 2,Celta
567,28-09-2023,Celta,1 - 1,Alaves
568,02-10-2023,Las Palmas,2 - 1,Celta
569,08-10-2023,Celta,2 - 2,Getafe
570,21-10-2023,Celta,0 - 3,Ath Madrid
571,27-10-2023,Girona,1 - 0,Celta
572,04-11-2023,Celta,1 - 1,Sevilla
573,10-11-2023,Ath Bilbao,4 - 3,Celta
574,25-11-2023,Valencia,0 - 0,Celta
575,04-12-2023,Celta,1 - 1,Cadiz
576,11-12-2023,Vallecano,0 - 0,Celta
577,16-12-2023,Celta,1 - 0,Granada
578,20-12-2023,Villarreal,3 - 2,Celta
579,03-01-2024,Celta,2 - 1,Betis
580,13-01-2024,Mallorca,1 - 1,Celta
581,20-01-2024,Celta,? - ?,Sociedad
582,13-08-2023,Getafe,0 - 0,Barcelona
583,20-08-2023,Girona,3 - 0,Getafe
584,28-08-2023,Getafe,1 - 0,Alaves
585,02-09-2023,Real Madrid,2 - 1,Getafe
586,17-09-2023,Getafe,3 - 2,Osasuna
587,24-09-2023,Sociedad,4 - 3,Getafe
588,27-09-2023,Ath Bilbao,2 - 2,Getafe
589,30-09-2023,Getafe,0 - 0,Villarreal
590,08-10-2023,Celta,2 - 2,Getafe
591,21-10-2023,Getafe,1 - 1,Betis
592,28-10-2023,Mallorca,0 - 0,Getafe
593,06-11-2023,Getafe,1 - 0,Cadiz
594,11-11-2023,Granada,1 - 1,Getafe
595,25-11-2023,Getafe,2 - 1,Almeria
596,01-12-2023,Las Palmas,2 - 0,Getafe
597,08-12-2023,Getafe,1 - 0,Valencia
598,16-12-2023,Sevilla,0 - 3,Getafe
599,19-12-2023,Ath Madrid,3 - 3,Getafe
600,02-01-2024,Getafe,0 - 2,Vallecano
601,21-01-2024,Osasuna,? - ?,Getafe
602,12-08-2023,Sociedad,1 - 1,Girona
603,20-08-2023,Girona,3 - 0,Getafe
604,26-08-2023,Sevilla,1 - 2,Girona
605,03-09-2023,Girona,1 - 0,Las Palmas
606,18-09-2023,Granada,2 - 4,Girona
607,23-09-2023,Girona,5 - 3,Mallorca
608,27-09-2023,Villarreal,1 - 2,Girona
609,30-09-2023,Girona,0 - 3,Real Madrid
610,07-10-2023,Cadiz,0 - 1,Girona
611,22-10-2023,Girona,5 - 2,Almeria
612,27-10-2023,Girona,1 - 0,Celta
613,04-11-2023,Osasuna,2 - 4,Girona
614,11-11-2023,Vallecano,1 - 2,Girona
615,27-11-2023,Girona,1 - 1,Ath Bilbao
616,02-12-2023,Girona,2 - 1,Valencia
617,10-12-2023,Barcelona,2 - 4,Girona
618,18-12-2023,Girona,3 - 0,Alaves
619,21-12-2023,Betis,1 - 1,Girona
620,03-01-2024,Girona,4 - 3,Ath Madrid
621,14-01-2024,Almeria,0 - 0,Girona
622,21-01-2024,Girona,? - ?,Sevilla
623,14-08-2023,Ath Madrid,3 - 1,Granada
624,21-08-2023,Granada,0 - 2,Vallecano
625,26-08-2023,Granada,3 - 2,Mallorca
626,02-09-2023,Sociedad,5 - 3,Granada
627,18-09-2023,Granada,2 - 4,Girona
628,24-09-2023,Las Palmas,1 - 0,Granada
629,28-09-2023,Granada,1 - 1,Betis
630,01-10-2023,Almeria,3 - 3,Granada
631,08-10-2023,Granada,2 - 2,Barcelona
632,20-10-2023,Osasuna,2 - 0,Granada
633,30-10-2023,Granada,2 - 3,Villarreal
634,05-11-2023,Valencia,1 - 0,Granada
635,11-11-2023,Granada,1 - 1,Getafe
636,24-11-2023,Alaves,3 - 1,Granada
637,02-12-2023,Real Madrid,2 - 0,Granada
638,11-12-2023,Granada,1 - 1,Ath Bilbao
639,16-12-2023,Celta,1 - 0,Granada
640,19-12-2023,Granada,0 - 3,Sevilla
641,03-01-2024,Granada,2 - 0,Cadiz
642,13-01-2024,Betis,1 - 0,Granada
643,22-01-2024,Granada,? - ?,Ath Madrid
644,12-08-2023,Las Palmas,1 - 1,Mallorca
645,18-08-2023,Valencia,1 - 0,Las Palmas
646,25-08-2023,Las Palmas,0 - 0,Sociedad
647,03-09-2023,Girona,1 - 0,Las Palmas
648,17-09-2023,Sevilla,1 - 0,Las Palmas
649,24-09-2023,Las Palmas,1 - 0,Granada
650,27-09-2023,Real Madrid,2 - 0,Las Palmas
651,02-10-2023,Las Palmas,2 - 1,Celta
652,08-10-2023,Villarreal,1 - 2,Las Palmas
653,22-10-2023,Las Palmas,0 - 1,Vallecano
654,28-10-2023,Almeria,1 - 2,Las Palmas
655,03-11-2023,Las Palmas,2 - 1,Ath Madrid
656,11-11-2023,Osasuna,1 - 1,Las Palmas
657,26-11-2023,Betis,1 - 0,Las Palmas
658,01-12-2023,Las Palmas,2 - 0,Getafe
659,09-12-2023,Alaves,0 - 1,Las Palmas
660,17-12-2023,Las Palmas,1 - 1,Cadiz
661,20-12-2023,Ath Bilbao,1 - 0,Las Palmas
662,04-01-2024,Las Palmas,1 - 2,Barcelona
663,13-01-2024,Las Palmas,3 - 0,Villarreal
664,20-01-2024,Vallecano,? - ?,Las Palmas
665,12-08-2023,Las Palmas,1 - 1,Mallorca
666,18-08-2023,Mallorca,0 - 1,Villarreal
667,26-08-2023,Granada,3 - 2,Mallorca
668,03-09-2023,Mallorca,0 - 0,Ath Bilbao
669,16-09-2023,Celta,0 - 1,Mallorca
670,23-09-2023,Girona,5 - 3,Mallorca
671,26-09-2023,Mallorca,2 - 2,Barcelona
672,30-09-2023,Vallecano,2 - 2,Mallorca
673,07-10-2023,Mallorca,1 - 1,Valencia
674,21-10-2023,Sociedad,1 - 0,Mallorca
675,28-10-2023,Mallorca,0 - 0,Getafe
676,04-11-2023,Betis,2 - 0,Mallorca
677,25-11-2023,Ath Madrid,1 - 0,Mallorca
678,29-11-2023,Mallorca,1 - 1,Cadiz
679,03-12-2023,Mallorca,0 - 0,Alaves
680,09-12-2023,Mallorca,1 - 0,Sevilla
681,17-12-2023,Almeria,0 - 0,Mallorca
682,21-12-2023,Mallorca,3 - 2,Osasuna
683,03-01-2024,Real Madrid,1 - 0,Mallorca
684,13-01-2024,Mallorca,1 - 1,Celta
685,20-01-2024,Villarreal,? - ?,Mallorca
686,13-08-2023,Celta,0 - 2,Osasuna
687,19-08-2023,Osasuna,0 - 2,Ath Bilbao
688,27-08-2023,Valencia,1 - 2,Osasuna
689,03-09-2023,Osasuna,1 - 2,Barcelona
690,17-09-2023,Getafe,3 - 2,Osasuna
691,23-09-2023,Osasuna,0 - 0,Sevilla
692,28-09-2023,Osasuna,0 - 2,Ath Madrid
693,01-10-2023,Alaves,0 - 2,Osasuna
694,07-10-2023,Real Madrid,4 - 0,Osasuna
695,20-10-2023,Osasuna,2 - 0,Granada
696,29-10-2023,Betis,2 - 1,Osasuna
697,04-11-2023,Osasuna,2 - 4,Girona
698,11-11-2023,Osasuna,1 - 1,Las Palmas
699,26-11-2023,Villarreal,3 - 1,Osasuna
700,02-12-2023,Osasuna,1 - 1,Sociedad
701,10-12-2023,Cadiz,1 - 1,Osasuna
702,15-12-2023,Osasuna,1 - 0,Vallecano
703,21-12-2023,Mallorca,3 - 2,Osasuna
704,04-01-2024,Osasuna,1 - 0,Almeria
705,21-01-2024,Osasuna,? - ?,Getafe
706,12-08-2023,Ath Bilbao,0 - 2,Real Madrid
707,19-08-2023,Almeria,1 - 3,Real Madrid
708,25-08-2023,Celta,0 - 1,Real Madrid
709,02-09-2023,Real Madrid,2 - 1,Getafe
710,17-09-2023,Real Madrid,2 - 1,Sociedad
711,24-09-2023,Ath Madrid,3 - 1,Real Madrid
712,27-09-2023,Real Madrid,2 - 0,Las Palmas
713,30-09-2023,Girona,0 - 3,Real Madrid
714,07-10-2023,Real Madrid,4 - 0,Osasuna
715,21-10-2023,Sevilla,1 - 1,Real Madrid
716,28-10-2023,Barcelona,1 - 2,Real Madrid
717,05-11-2023,Real Madrid,0 - 0,Vallecano
718,11-11-2023,Real Madrid,5 - 1,Valencia
719,26-11-2023,Cadiz,0 - 3,Real Madrid
720,02-12-2023,Real Madrid,2 - 0,Granada
721,09-12-2023,Betis,1 - 1,Real Madrid
722,17-12-2023,Real Madrid,4 - 1,Villarreal
723,21-12-2023,Alaves,0 - 1,Real Madrid
724,03-01-2024,Real Madrid,1 - 0,Mallorca
725,21-01-2024,Real Madrid,? - ?,Almeria
726,11-08-2023,Sevilla,1 - 2,Valencia
727,21-08-2023,Alaves,4 - 3,Sevilla
728,26-08-2023,Sevilla,1 - 2,Girona
729,17-09-2023,Sevilla,1 - 0,Las Palmas
730,23-09-2023,Osasuna,0 - 0,Sevilla
731,26-09-2023,Sevilla,5 - 1,Almeria
732,29-09-2023,Barcelona,1 - 0,Sevilla
733,07-10-2023,Sevilla,2 - 2,Vallecano
734,21-10-2023,Sevilla,1 - 1,Real Madrid
735,28-10-2023,Cadiz,2 - 2,Sevilla
736,04-11-2023,Celta,1 - 1,Sevilla
737,12-11-2023,Sevilla,1 - 1,Betis
738,26-11-2023,Sociedad,2 - 1,Sevilla
739,03-12-2023,Sevilla,1 - 1,Villarreal
740,09-12-2023,Mallorca,1 - 0,Sevilla
741,16-12-2023,Sevilla,0 - 3,Getafe
742,19-12-2023,Granada,0 - 3,Sevilla
743,23-12-2023,Ath Madrid,1 - 0,Sevilla
744,04-01-2024,Sevilla,0 - 2,Ath Bilbao
745,12-01-2024,Sevilla,2 - 3,Alaves
746,21-01-2024,Girona,? - ?,Sevilla
747,12-08-2023,Sociedad,1 - 1,Girona
748,19-08-2023,Sociedad,1 - 1,Celta
749,25-08-2023,Las Palmas,0 - 0,Sociedad
750,02-09-2023,Sociedad,5 - 3,Granada
751,17-09-2023,Real Madrid,2 - 1,Sociedad
752,24-09-2023,Sociedad,4 - 3,Getafe
753,27-09-2023,Valencia,0 - 1,Sociedad
754,30-09-2023,Sociedad,3 - 0,Ath Bilbao
755,08-10-2023,Ath Madrid,2 - 1,Sociedad
756,21-10-2023,Sociedad,1 - 0,Mallorca
757,29-10-2023,Vallecano,2 - 2,Sociedad
758,04-11-2023,Sociedad,0 - 1,Barcelona
759,11-11-2023,Almeria,1 - 3,Sociedad
760,26-11-2023,Sociedad,2 - 1,Sevilla
761,02-12-2023,Osasuna,1 - 1,Sociedad
762,09-12-2023,Villarreal,0 - 3,Sociedad
763,17-12-2023,Sociedad,0 - 0,Betis
764,21-12-2023,Cadiz,0 - 0,Sociedad
765,02-01-2024,Sociedad,1 - 1,Alaves
766,13-01-2024,Ath Bilbao,2 - 1,Sociedad
767,20-01-2024,Celta,? - ?,Sociedad
768,11-08-2023,Sevilla,1 - 2,Valencia
769,18-08-2023,Valencia,1 - 0,Las Palmas
770,27-08-2023,Valencia,1 - 2,Osasuna
771,02-09-2023,Alaves,1 - 0,Valencia
772,16-09-2023,Valencia,3 - 0,Ath Madrid
773,23-09-2023,Almeria,2 - 2,Valencia
774,27-09-2023,Valencia,0 - 1,Sociedad
775,01-10-2023,Betis,3 - 0,Valencia
776,07-10-2023,Mallorca,1 - 1,Valencia
777,23-10-2023,Valencia,2 - 0,Cadiz
778,29-10-2023,Ath Bilbao,2 - 2,Valencia
779,05-11-2023,Valencia,1 - 0,Granada
780,11-11-2023,Real Madrid,5 - 1,Valencia
781,25-11-2023,Valencia,0 - 0,Celta
782,02-12-2023,Girona,2 - 1,Valencia
783,08-12-2023,Getafe,1 - 0,Valencia
784,16-12-2023,Valencia,1 - 1,Barcelona
785,19-12-2023,Vallecano,0 - 1,Valencia
786,02-01-2024,Valencia,3 - 1,Villarreal
787,14-01-2024,Cadiz,1 - 4,Valencia
788,20-01-2024,Valencia,? - ?,Ath Bilbao
789,11-08-2023,Almeria,0 - 2,Vallecano
790,21-08-2023,Granada,0 - 2,Vallecano
791,28-08-2023,Vallecano,0 - 7,Ath Madrid
792,02-09-2023,Betis,1 - 0,Vallecano
793,15-09-2023,Vallecano,2 - 0,Alaves
794,24-09-2023,Vallecano,1 - 1,Villarreal
795,27-09-2023,Cadiz,0 - 0,Vallecano
796,30-09-2023,Vallecano,2 - 2,Mallorca
797,07-10-2023,Sevilla,2 - 2,Vallecano
798,22-10-2023,Las Palmas,0 - 1,Vallecano
799,29-10-2023,Vallecano,2 - 2,Sociedad
800,05-11-2023,Real Madrid,0 - 0,Vallecano
801,11-11-2023,Vallecano,1 - 2,Girona
802,25-11-2023,Vallecano,1 - 1,Barcelona
803,02-12-2023,Ath Bilbao,4 - 0,Vallecano
804,11-12-2023,Vallecano,0 - 0,Celta
805,15-12-2023,Osasuna,1 - 0,Vallecano
806,19-12-2023,Vallecano,0 - 1,Valencia
807,02-01-2024,Getafe,0 - 2,Vallecano
808,20-01-2024,Vallecano,? - ?,Las Palmas
809,13-08-2023,Villarreal,1 - 2,Betis
810,18-08-2023,Mallorca,0 - 1,Villarreal
811,27-08-2023,Villarreal,3 - 4,Barcelona
812,01-09-2023,Cadiz,3 - 1,Villarreal
813,17-09-2023,Villarreal,2 - 1,Almeria
814,24-09-2023,Vallecano,1 - 1,Villarreal
815,27-09-2023,Villarreal,1 - 2,Girona
816,30-09-2023,Getafe,0 - 0,Villarreal
817,08-10-2023,Villarreal,1 - 2,Las Palmas
818,22-10-2023,Villarreal,1 - 1,Alaves
819,30-10-2023,Granada,2 - 3,Villarreal
820,05-11-2023,Villarreal,2 - 3,Ath Bilbao
821,12-11-2023,Ath Madrid,3 - 1,Villarreal
822,26-11-2023,Villarreal,3 - 1,Osasuna
823,03-12-2023,Sevilla,1 - 1,Villarreal
824,09-12-2023,Villarreal,0 - 3,Sociedad
825,17-12-2023,Real Madrid,4 - 1,Villarreal
826,20-12-2023,Villarreal,3 - 2,Celta
827,02-01-2024,Valencia,3 - 1,Villarreal
828,13-01-2024,Las Palmas,3 - 0,Villarreal
829,20-01-2024,Villarreal,? - ?,Mallorca
830,20-12-2023,Union Berlin,2 - 0,1.FC Köln
831,13-01-2024,1.FC Köln,1 - 1,Heidenheim
832,20-01-2024,1.FC Köln,? - ?,Dortmund
833,19-08-2023,Augsburg,4 - 4,M''gladbach
834,27-08-2023,Bayern Munich,3 - 1,Augsburg
835,02-09-2023,Augsburg,2 - 2,Bochum
836,16-09-2023,RB Leipzig,3 - 0,Augsburg
837,23-09-2023,Augsburg,2 - 1,Mainz
838,01-10-2023,Freiburg,2 - 0,Augsburg
839,07-10-2023,Augsburg,1 - 2,Darmstadt
840,22-10-2023,Heidenheim,2 - 5,Augsburg
841,28-10-2023,Augsburg,3 - 2,Wolfsburg
842,04-11-2023,FC Koln,1 - 1,Augsburg
843,11-11-2023,Augsburg,1 - 1,Hoffenheim
844,25-11-2023,Union Berlin,1 - 1,Augsburg
845,03-12-2023,Augsburg,2 - 1,Ein Frankfurt
846,09-12-2023,Werder Bremen,2 - 0,Augsburg
847,16-12-2023,Augsburg,1 - 1,Dortmund
848,20-12-2023,Stuttgart,3 - 0,Augsburg
849,13-01-2024,Augsburg,0 - 1,Leverkusen
850,21-01-2024,M''gladbach,? - ?,Augsburg
851,18-08-2023,Werder Bremen,0 - 4,Bayern Munich
852,27-08-2023,Bayern Munich,3 - 1,Augsburg
853,02-09-2023,M''gladbach,1 - 2,Bayern Munich
854,15-09-2023,Bayern Munich,2 - 2,Leverkusen
855,23-09-2023,Bayern Munich,7 - 0,Bochum
856,30-09-2023,RB Leipzig,2 - 2,Bayern Munich
857,08-10-2023,Bayern Munich,3 - 0,Freiburg
858,21-10-2023,Mainz,1 - 3,Bayern Munich
859,28-10-2023,Bayern Munich,8 - 0,Darmstadt
860,04-11-2023,Dortmund,0 - 4,Bayern Munich
861,11-11-2023,Bayern Munich,4 - 2,Heidenheim
862,24-11-2023,FC Koln,0 - 1,Bayern Munich
863,09-12-2023,Ein Frankfurt,5 - 1,Bayern Munich
864,17-12-2023,Bayern Munich,3 - 0,Stuttgart
865,20-12-2023,Wolfsburg,1 - 2,Bayern Munich
866,12-01-2024,Bayern Munich,3 - 0,Hoffenheim
867,21-01-2024,Bayern Munich,? - ?,Werder Bremen
868,19-08-2023,Stuttgart,5 - 0,Bochum
869,26-08-2023,Bochum,1 - 1,Dortmund
870,02-09-2023,Augsburg,2 - 2,Bochum
871,16-09-2023,Bochum,1 - 1,Ein Frankfurt
872,23-09-2023,Bayern Munich,7 - 0,Bochum
873,30-09-2023,Bochum,1 - 3,M''gladbach
874,07-10-2023,RB Leipzig,0 - 0,Bochum
875,21-10-2023,Freiburg,2 - 1,Bochum
876,27-10-2023,Bochum,2 - 2,Mainz
877,03-11-2023,Darmstadt,1 - 2,Bochum
878,11-11-2023,Bochum,1 - 1,FC Koln
879,26-11-2023,Heidenheim,0 - 0,Bochum
880,02-12-2023,Bochum,3 - 1,Wolfsburg
881,08-12-2023,Hoffenheim,3 - 1,Bochum
882,16-12-2023,Bochum,3 - 0,Union Berlin
883,20-08-2023,Ein Frankfurt,1 - 0,Darmstadt
884,26-08-2023,Darmstadt,1 - 4,Union Berlin
885,02-09-2023,Leverkusen,5 - 1,Darmstadt
886,17-09-2023,Darmstadt,3 - 3,M''gladbach
887,22-09-2023,Stuttgart,3 - 1,Darmstadt
888,01-10-2023,Darmstadt,4 - 2,Werder Bremen
889,07-10-2023,Augsburg,1 - 2,Darmstadt
890,21-10-2023,Darmstadt,1 - 3,RB Leipzig
891,28-10-2023,Bayern Munich,8 - 0,Darmstadt
892,03-11-2023,Darmstadt,1 - 2,Bochum
893,11-11-2023,Darmstadt,0 - 0,Mainz
894,25-11-2023,Freiburg,1 - 1,Darmstadt
895,01-12-2023,Darmstadt,0 - 1,FC Koln
896,09-12-2023,Heidenheim,3 - 2,Darmstadt
897,16-12-2023,Darmstadt,0 - 1,Wolfsburg
898,19-12-2023,Hoffenheim,3 - 3,Darmstadt
899,13-01-2024,Darmstadt,0 - 3,Dortmund
900,20-01-2024,Darmstadt,? - ?,Ein Frankfurt
901,19-08-2023,Dortmund,1 - 0,FC Koln
902,26-08-2023,Bochum,1 - 1,Dortmund
903,01-09-2023,Dortmund,2 - 2,Heidenheim
904,16-09-2023,Freiburg,2 - 4,Dortmund
905,23-09-2023,Dortmund,1 - 0,Wolfsburg
906,29-09-2023,Hoffenheim,1 - 3,Dortmund
907,07-10-2023,Dortmund,4 - 2,Union Berlin
908,20-10-2023,Dortmund,1 - 0,Werder Bremen
909,29-10-2023,Ein Frankfurt,3 - 3,Dortmund
910,04-11-2023,Dortmund,0 - 4,Bayern Munich
911,11-11-2023,Stuttgart,2 - 1,Dortmund
912,25-11-2023,Dortmund,4 - 2,M''gladbach
913,03-12-2023,Leverkusen,1 - 1,Dortmund
914,09-12-2023,Dortmund,2 - 3,RB Leipzig
915,16-12-2023,Augsburg,1 - 1,Dortmund
916,19-12-2023,Dortmund,1 - 1,Mainz
917,13-01-2024,Darmstadt,0 - 3,Dortmund
918,20-01-2024,1.FC Köln,? - ?,Dortmund
919,20-08-2023,Ein Frankfurt,1 - 0,Darmstadt
920,27-08-2023,Mainz,1 - 1,Ein Frankfurt
921,03-09-2023,Ein Frankfurt,1 - 1,FC Koln
922,16-09-2023,Bochum,1 - 1,Ein Frankfurt
923,24-09-2023,Ein Frankfurt,0 - 0,Freiburg
924,30-09-2023,Wolfsburg,2 - 0,Ein Frankfurt
925,08-10-2023,Ein Frankfurt,2 - 0,Heidenheim
926,21-10-2023,Hoffenheim,1 - 3,Ein Frankfurt
927,29-10-2023,Ein Frankfurt,3 - 3,Dortmund
928,04-11-2023,Union Berlin,0 - 3,Ein Frankfurt
929,12-11-2023,Werder Bremen,2 - 2,Ein Frankfurt
930,25-11-2023,Ein Frankfurt,1 - 2,Stuttgart
931,03-12-2023,Augsburg,2 - 1,Ein Frankfurt
932,09-12-2023,Ein Frankfurt,5 - 1,Bayern Munich
933,17-12-2023,Leverkusen,3 - 0,Ein Frankfurt
934,20-12-2023,Ein Frankfurt,2 - 1,M''gladbach
935,13-01-2024,RB Leipzig,0 - 1,Ein Frankfurt
936,20-01-2024,Darmstadt,? - ?,Ein Frankfurt
937,19-08-2023,Dortmund,1 - 0,FC Koln
938,26-08-2023,FC Koln,1 - 2,Wolfsburg
939,03-09-2023,Ein Frankfurt,1 - 1,FC Koln
940,16-09-2023,FC Koln,1 - 3,Hoffenheim
941,23-09-2023,Werder Bremen,2 - 1,FC Koln
942,30-09-2023,FC Koln,0 - 2,Stuttgart
943,08-10-2023,Leverkusen,3 - 0,FC Koln
944,22-10-2023,FC Koln,3 - 1,M''gladbach
945,28-10-2023,RB Leipzig,6 - 0,FC Koln
946,04-11-2023,FC Koln,1 - 1,Augsburg
947,11-11-2023,Bochum,1 - 1,FC Koln
948,24-11-2023,FC Koln,0 - 1,Bayern Munich
949,01-12-2023,Darmstadt,0 - 1,FC Koln
950,10-12-2023,FC Koln,0 - 0,Mainz
951,17-12-2023,Freiburg,2 - 0,FC Koln
952,19-08-2023,Hoffenheim,1 - 2,Freiburg
953,26-08-2023,Freiburg,1 - 0,Werder Bremen
954,02-09-2023,Stuttgart,5 - 0,Freiburg
955,16-09-2023,Freiburg,2 - 4,Dortmund
956,24-09-2023,Ein Frankfurt,0 - 0,Freiburg
957,01-10-2023,Freiburg,2 - 0,Augsburg
958,08-10-2023,Bayern Munich,3 - 0,Freiburg
959,21-10-2023,Freiburg,2 - 1,Bochum
960,29-10-2023,Leverkusen,2 - 1,Freiburg
961,04-11-2023,Freiburg,3 - 3,M''gladbach
962,12-11-2023,RB Leipzig,3 - 1,Freiburg
963,25-11-2023,Freiburg,1 - 1,Darmstadt
964,03-12-2023,Mainz,0 - 1,Freiburg
965,09-12-2023,Wolfsburg,0 - 1,Freiburg
966,17-12-2023,Freiburg,2 - 0,FC Koln
967,20-12-2023,Heidenheim,3 - 2,Freiburg
968,13-01-2024,Freiburg,0 - 0,Union Berlin
969,20-01-2024,Freiburg,? - ?,Hoffenheim
970,19-08-2023,Wolfsburg,2 - 0,Heidenheim
971,26-08-2023,Heidenheim,2 - 3,Hoffenheim
972,01-09-2023,Dortmund,2 - 2,Heidenheim
973,17-09-2023,Heidenheim,4 - 2,Werder Bremen
974,24-09-2023,Leverkusen,4 - 1,Heidenheim
975,30-09-2023,Heidenheim,1 - 0,Union Berlin
976,08-10-2023,Ein Frankfurt,2 - 0,Heidenheim
977,22-10-2023,Heidenheim,2 - 5,Augsburg
978,28-10-2023,M''gladbach,2 - 1,Heidenheim
979,05-11-2023,Heidenheim,2 - 0,Stuttgart
980,11-11-2023,Bayern Munich,4 - 2,Heidenheim
981,26-11-2023,Heidenheim,0 - 0,Bochum
982,02-12-2023,RB Leipzig,2 - 1,Heidenheim
983,09-12-2023,Heidenheim,3 - 2,Darmstadt
984,16-12-2023,Mainz,0 - 1,Heidenheim
985,20-12-2023,Heidenheim,3 - 2,Freiburg
986,13-01-2024,1.FC Köln,1 - 1,Heidenheim
987,20-01-2024,Heidenheim,? - ?,Wolfsburg
988,19-08-2023,Hoffenheim,1 - 2,Freiburg
989,26-08-2023,Heidenheim,2 - 3,Hoffenheim
990,02-09-2023,Hoffenheim,3 - 1,Wolfsburg
991,16-09-2023,FC Koln,1 - 3,Hoffenheim
992,23-09-2023,Union Berlin,0 - 2,Hoffenheim
993,29-09-2023,Hoffenheim,1 - 3,Dortmund
994,07-10-2023,Werder Bremen,2 - 3,Hoffenheim
995,21-10-2023,Hoffenheim,1 - 3,Ein Frankfurt
996,28-10-2023,Stuttgart,2 - 3,Hoffenheim
997,04-11-2023,Hoffenheim,2 - 3,Leverkusen
998,11-11-2023,Augsburg,1 - 1,Hoffenheim
999,26-11-2023,Hoffenheim,1 - 1,Mainz
1000,02-12-2023,M''gladbach,2 - 1,Hoffenheim
1001,08-12-2023,Hoffenheim,3 - 1,Bochum
1002,16-12-2023,RB Leipzig,3 - 1,Hoffenheim
1003,19-12-2023,Hoffenheim,3 - 3,Darmstadt
1004,12-01-2024,Bayern Munich,3 - 0,Hoffenheim
1005,20-01-2024,Freiburg,? - ?,Hoffenheim
1006,19-08-2023,Leverkusen,3 - 2,RB Leipzig
1007,26-08-2023,M''gladbach,0 - 3,Leverkusen
1008,02-09-2023,Leverkusen,5 - 1,Darmstadt
1009,15-09-2023,Bayern Munich,2 - 2,Leverkusen
1010,24-09-2023,Leverkusen,4 - 1,Heidenheim
1011,30-09-2023,Mainz,0 - 3,Leverkusen
1012,08-10-2023,Leverkusen,3 - 0,FC Koln
1013,21-10-2023,Wolfsburg,1 - 2,Leverkusen
1014,29-10-2023,Leverkusen,2 - 1,Freiburg
1015,04-11-2023,Hoffenheim,2 - 3,Leverkusen
1016,12-11-2023,Leverkusen,4 - 0,Union Berlin
1017,25-11-2023,Werder Bremen,0 - 3,Leverkusen
1018,03-12-2023,Leverkusen,1 - 1,Dortmund
1019,10-12-2023,Stuttgart,1 - 1,Leverkusen
1020,17-12-2023,Leverkusen,3 - 0,Ein Frankfurt
1021,20-12-2023,Leverkusen,4 - 0,Vfl Bochum
1022,13-01-2024,Augsburg,0 - 1,Leverkusen
1023,20-01-2024,RB Leipzig,? - ?,Leverkusen
1024,19-08-2023,Augsburg,4 - 4,M''gladbach
1025,26-08-2023,M''gladbach,0 - 3,Leverkusen
1026,02-09-2023,M''gladbach,1 - 2,Bayern Munich
1027,17-09-2023,Darmstadt,3 - 3,M''gladbach
1028,23-09-2023,M''gladbach,0 - 1,RB Leipzig
1029,30-09-2023,Bochum,1 - 3,M''gladbach
1030,06-10-2023,M''gladbach,2 - 2,Mainz
1031,22-10-2023,FC Koln,3 - 1,M''gladbach
1032,28-10-2023,M''gladbach,2 - 1,Heidenheim
1033,04-11-2023,Freiburg,3 - 3,M''gladbach
1034,10-11-2023,M''gladbach,4 - 0,Wolfsburg
1035,25-11-2023,Dortmund,4 - 2,M''gladbach
